source,content,sentiment
twitter,"بدبختی ما اونجا دو تا پاکستانی دیگه هم داشتیم
یه سکند آفیسر که خنثی بود خوشبختانه
و یک اسیستنت الکتریشن که شده بود مخبر کاپتان
قشنگ میومد هر نیم ساعت یه بار خبر می‌گرفت و می‌رفت ریپورت می‌کرد",neu
twitter,"گه میخوری ناراحت بشی
مگه من و تو کسی دیگ ای اینو میبینه😑😂",neu
twitter,خوب اگه تو بخش کرونا نیستی ی لقمه سکس به ما بده,neu
twitter,شبکه طلا و ارز -  خرید سهام ETF از طریق اپلیکیشن سکه به‌پرداخت ملت: متقاضیان پذیره‌نویسی واحدهای سرمایه‌گذاری صندوق سرمایه‌گذاری قابل معامله (ETF) «واسطه‌گری مالی یکم» می‌توانند از امروز ۱۴ اردیبهشت‌ماه برای خرید سهام تا سقف ۲۰ میلیون ریال اقدام…,neu
twitter,متاسفانه هم تهاجمی هستش هم میل به آلفا بودن داره,neu
twitter,روحش شاد ، زندگى با او زياد سازگار نبود !,neg
twitter,"👆👆👆

به مخالفت باآن برخاستند.

در آغاز انقلاب، اکثريت مخالفان خواستار سرنگونی نھاد پادشاھی نبودند، بلکه تنھا خواستار اجرای کامل قانون اساسی بودند .يعنی اين که شاه بايد تنھا پادشاھی کند و نه حکومت . پدرم نتوانست در مقابل خمينی و مذھبيونی

ادامه👇👇👇
(95)
#خیزش_99",neu
twitter,بکنم تو کص ننه ادم خایمال,neg
twitter,من خودمو صبا رو فقط تو فیلم تشخیص می دم=))) ما رو بغل می کنی:)),neu
twitter,مشتری داشتی من یه ۲۰۰۹ دارم 😊دست خودم بوده فقط باهاش چک میکردم,neu
twitter,باز یه ماله کِش دوید اومد بگه وضع آمریکا و اروپا از ایران بدتره! این مزخرفاتی که نوشتی خودت هم نمیفهمی یعنی چی. برو پیش روانپزشک شاید بتونه درمانت کنه. یه چادر هم سرت کُن که به تفکرّاتت بیشتر میخوره. 🤢,neg
twitter,"وضعیت #بورس تهران در این روزهای بخر بخر
#فرابورس
#سهام_عدالت
#ارز_دیجیتال
#بیت_کوین
#سیگنال",neu
twitter,=))))))))) اولش شبیه این عکس‌های فتوشاپیه که باهاش آبرو حاجی‌های بازاری رو میبرن.,neu
twitter,همین کارو کردم. برام ایمیل اومد گفت همینو ریپلای کن اگه راست میگی ریپلای کردم. فکر کنم جک مرده جسدش تو خونه بو افتاده,neu
twitter,بد مگه من مث تو کصخلم مثه کصدستا تایپ کنم=),neg
twitter,"به خدا تا میای اخبارارو بخونی میرینن توحالت.

خو پدسگ چرا می خوای مدارس‌و باز کنی؟!؟

می خوای سپری برا راهپیمایی قدس بسازی ؟!؟",neu
twitter,اونی که یه جوری فیلم بازی می‌کنه خود خدا هم باورش میشه,neu
twitter,احتمالا کسایی اینجا سرکاریند که آرمانشون کانداست وگرنه کسایی که آرمانشون اینجاست در حال کوششند براش.,neu
twitter,ش رو ن خوندم باشد خداوند از تقصیراتم بگذرد,neu
twitter,"والا یه جوری قیاغه می گیرن انگار سمپاد چی هست.
انقدر که به خودشون می بالن بچه های دبیرستانای دیگه که خیلی عملکرد بهتری دارن نمی بالن.",neg
twitter,"دیشب رو یه استیک نوت برای داداشم نوشتم:
You're the smartest ass I've ever seen.
و وقتی خواب بود چسبوندم رو پیشونیشuwu",neu
twitter,وارد رابطه با دختر میشدی؟,neu
twitter,برید یقه اونایی رو بگیرید که به اسم انقلابی تریبون میدم دست لاریجانی,neg
twitter,اجازه میداد یه رسیدگی میکردم نه مثل معتادا با لباس خواب هواپیما :))))))),neu
twitter,"دقیقا ،‌ زنش هم‌همیچین مالی نبوده ها  

در احادیثشون هست که ، محمد وقتی شبا از کار برمیگرده میره ۳۵ سانت توو کار تحویل فاطمه میده.  
مادر مسلمانان به صورت کامل ک از کودکی ، سکس با بزرگتر ها آشنا بوده. 
باباشم که عاشق ممه هاش بوده، 👌😂",neu
twitter,اگه لباس اینه که اینا میپوشن ، پس اینکه ما میپوشیم چیه...؟؟😐😐🤷‍♀️😂,neu
twitter,"بلاتکلیف البته.
و اگر پای بلاتکلیفی بمونی نه راه پس و نه راه پیش داری.
البته اونم بستگی به خودت داره که تو بلاتکلیفی بمونی یا راه و بنوعی رویاهای خودتو دنبال کنی.",neu
twitter,"فعلا به مادر گرامی بگو موقع ساک زدن کیرم
دندون نزنه ، بعدا راجب بقیه مسائل گفتگو میکنیم
الان هم یه خاطره تو توییت پینت میزارم و دکمتو میزنم مادرجنده 🖕😘",neg
twitter,من بودم که اون همه توییت فلسفی زدم,neu
twitter,"این چه منطقیه که بعضی از فمنیستای ایران دارن و میگن ""چون به زنان در طول سالیان ظلم شده، پس ما هم باید متقابلا به مردا ظلم کنیم""؟
الان چون سیاه پوستا 90 سال تو آمریکا برده بودن و انواع اقسام ظلم ها در حقشون شد، باید بگن ما هم باید همه سفیدا رو بکشیم؟
از کجاتون میارین این کصشرارو؟",neg
twitter,آخه slm خیلی تو ک** نررو عه😂😂😂,neu
twitter,"👆👆👆

روحانيان از ھمين رو ھرگز پدرم را از اين بابت نبخشيدند. در ضمن يادآوری ميکنم که املاک سلطنتی پيش از تقسيم املاک ديگر ميان روستائيان تقسيم شد . اين اصلاحات در جھت تجدد و عدالت اجتماعی پيش می رفت.

ادامه👇👇👇
(85) 
#خیزش_99",neu
twitter,"مشکل حقوق #زنان در ایران این است که وقتی لب به اعتراض می گشایی،همه بسیج می‌شوند برای برچسب زدن!
 
گویا زن ایرانی،حق ندارد خواسته‌هایش رامطالبه کند. با بهانه جامعیت اسلام، تحمل ندارند نقدی برسیاست‌های اجرائیشان بشنوند

در نهایت هم تو محکومی؛صرفا به جرم این که از حقوق زن حرف زده‌ای",neg
twitter,حالا یه روز داریم تو عمرمون شماهم هی گُه مارو بخورین ای بابا :/,neu
twitter,"من داستان آن گل سرخم که عاقبت
دلسوزی نسیم سرش را به باد داد

گفتی ببند عهد و به من اعتماد کن
نفرین به عهد بستن و لعنت به اعتماد

این زخم خورده را به ترحم نیاز نیست
خیر شما رسیده به ما مرحمت زیاد",neg
twitter,"میشه بگید از چی شاهزاده حمایت کنه؟
از حزبش؟
از سازمانش؟
از جنبشش؟
از کمپینش؟
از ائتلافش؟
از چیش؟
تو همونی نیسی میگفتیIR=Iran?",neu
twitter,"میگن رمز موفقیت تو دختر بازی و لاشی شدن تو متاهل شدنه 
البته دور از جون خیلی هاا",neu
twitter,بورس املاک راه‌اندازی می‌شود/ واگذاری املاک دولت از طریق بورس املاک,neu
twitter,"شت، منم میخوام ریک اند مورتی رو 😂
مبلغ اندکی رو هی میزنی به کتف گاو، ولی کار باحالیه 😁",neu
twitter,"کی گفته کسی باید جواب زیان مردم رو بده؟
هر کسی اومده تو این بازار قطعا میدونه بازار هم سود داره هم زیان!
بورس، موسسات مالی اعتباری نیست که بعد از زیان کسی بخواد زیان سرمایه گذار رو جبران کنه",neu
twitter,به روح اعتقاد داری دکتر؟,neu
twitter,"👆👆👆

در ھمين دوره، دو نخست وزير و شماری از مقامات دولتی و شخصيت ھای سياسی به قتل رسيدند . خواست پدرم اين بود که يکپارچگی و تماميت ارضی ايران آسيبی
نبيند و مردم ايران در راه صنعتی کردن کشور موفق شوند. 

در زمان خود، پدرم فردی آزادمنش بود

ادامه👇👇👇
(80)
#خیزش_99",neu
twitter,پیداش کردن به موقع و الان بهداری هست دوست من.,neu
twitter,"امروز خوشحالترینم:""
یه بغل خرسی گنده به همتون&gt;&lt;💕",pos
twitter,"#لبخند تو را بر همه عالم نفروشم
ای آنکه ز تو هستی و عمر است و توانم...",pos
twitter,"آدم بعضی اوقات از یه عده یه چیزایی میبینه که با خودش میگه واقعا بشکنه دستی که نمک نداره...
اما به نظرم بعضی آدما اومدن تو این دنیا که  کلا بی‌لیاقت باشن پس دیگه حرص نمی‌خورم سر این جور چیزا به جاش سعی میکنم اطرافیانمو بهتر بشناسم.",neu
twitter,از زمان وایبر و قبلش اس,neu
twitter,"#thepromisedsaviour 
اگه هر روز هم درباره این هشتگ توییت بزنیم باز کمه...",neu
twitter,به والله تاریخ جوین شما تخم ماست، کاش توییتر برداره اصن اون تاریخ تخمیو اینقد روش مانور ندین,neg
twitter,ولی اگر کلمه های کیوت و خوشگل و زیبا رو از من بگیرید دیگه نمیتونم مودبانه و قشنگ حرف بزنم باهاتون:))),neu
twitter,"باشه 
مهریه و شیربها هم تو میدی",neu
twitter,امشب به خواب من نیاد صلوات,neu
twitter,الان گریفندور شدم و میتونم بگم واقعا از کلاس بالایی برخوردارم هرچند اسلایترن رو ترجیح میدادم,neu
twitter,اگر هدف داشته باشی احتمال خیلی زیاد بهتر است برات، چون جای رسیدن به هدف ات خیلی بیشتر است، اما متاسفانه الان خیلی ها هدف شون شده که ایران بده می گن اروپا منتظر نشستن ما بریم اونجا خونه مفت بدن بهمون هر ماه پول مفت بریزن به حسابمون، اون موقع نباید بیای,neg
twitter,"بخدا که یه جوک به تمام معنا هستین :)))))))
من که دیگه از اینترنت ایرانسل استفاده نمیکنم به هر حال
میدونم واستون مهم نیست
مثل پشتیبانی مزخرفتون
علنا دیگه دزدی میکنین از مردم",neg
twitter,والا همه جا سقوط کرده اینا میگن بیاین تو بورس🤔,neu
twitter,این کتاب هم حکایتش جالبه، یه بار با ترجمه‌ی کیومرث پارسای منتشر شد که دیگه چاپ نشد و یه بار هم یکی دیگه از مترجمان ترجمه‌اش کرد که مجوز ندادن بهش.,neu
twitter,ما که ریکا زدیم بهش😬,neu
twitter,من یه برگم‌که تو باد تو به مقصد نرسیدم!,neu
twitter,"من خودم موقعی که توییتر نصب کردم واسه شرکت تو طوفان های توییتری بود.
الان هر جنده و کونی زاخاری میاد اینجا و هدفشم صرفا کصشر بافتنه.
واقعا عیش.",neg
twitter,"لینک نیست
این مسیریاب بلد رو دارم، توی اون چک کردم
و البته منبع مطمئنیه",neu
twitter,"رفته بودم ضامن بشم برای وام ازدواج
با رئیس بانک اونجا دعوام شد
میگفت باید پشت سفته ها رو امضا کنی و بری دفتر خونه گواهی امضا بگیری تازه چک هم داده بودم
میگفت باید تو بانک ما هم حساب باز کنی حداقل ۵۰ هزار تومن موجودی داشته باشی
گواهی کسر اقساط رسمی هم داشتم...",neg
twitter,آواتارت از دور یه جوریه😔🧑🏻‍🦽🧑🏻‍🦽🧑🏻‍🦽,neg
twitter,من همیشه معتقدم دختر شیرازی تکه مثل و مانند نداره :( این هم مدرکش :(,neu
twitter,همین شماها باعث شدین پسرا مرد بودن و ول کنن و خوشکل بشن ‌که شما خوشتون بیاد...غافل از اینکه یه سری پسر دیگه هم خوششون اومد و گی شدن اینام👌👌👌,neu
twitter,"شاید هم دیشون تی خامنه ای بیده
#مرگ_بر_کلیت_و_تمامیت_جمهوری_اسلامی",neg
twitter,ایران رتبه ۱۵۳ جهان از نظر سرعت اینترنت,neu
twitter,"😂نه اخه قهر هم نیستیم
دوشب پیش خیلی دوستانه گفتیم شب خوش!",pos
twitter,"بنظر من میگه
 کدومش بیشتر خودتی؟
خودت یا کسی که خودتو مجبور کردی باشه؟",neu
twitter,تو ماشينم دارم 😅,neu
twitter,بعضی از برنامه ها رو میشه که رایگانن. بقیه رو باید اکانت ماهانه و یا سه ماهه و سالانه بخرین و اینترپرایز و تایید بشه و بتونین دانلود کنین. نامردا همه چی و پولی کردن,neu
twitter,لانا دل ری ی جوریه انگار همش از پا منقل پا میشه میاد آواز بخونه,neu
twitter,با تو میشه خونه کرد تو شهر عشق اما افسوس نمیذاره سرنوشت,neu
twitter,کاش یه معجون فیلیکس فلیسی داشتم و برای یه قضیه‌ای امتحانش میکردم.,neu
twitter,خامه دبل رو با نتلا قاطی کن با نون بربری داغ و چایی بزن بر بدن، دعا بجون من کن😁,neu
twitter,"در مورد این نمیتونم بگم رذل بوده و اگرسیو ولی خب قطعا یه رذالت هایی داشته مث بیشتر آدما😁
ضمنا شاید فقط یه رفتار ناخودآگاه خودخواهانه بوده.باتوجه به هدف این کتاب ممکنه دستکاری هم شده باشه انگیزه هه.😁
ولی کلا داشتن عشق وانگیزه ی خیلی زیاد برای کاری میتونه یه جاهایی آدمو رذل کنه",neu
twitter,"الان چرا بقیه رپر ها از همین موضوع برای ""دیس"" کردن اینا استفاده نمیکنن خب؟",neu
twitter,این مال تقریبا ۱۰ سال قبله,neu
twitter,"خونه حیاط داره؟ من اگه بودم یه جایی براش درست میکردم همونجام عادت کنه.. توی کارتنی چیزی مثلا یا حتی توی کوچه
چقدم خوشگله😁",neu
twitter,"۷۰۰ زن باردار در ایران به کرونا مبتلا شدند 

شهلا خسروی، مشاور وزیر بهداشت در امور مامایی، گفته در جریان همه‌گیری ویروس کرونا در ایران، ۷۰۰ مادر باردار نیز در کشور به این ویروس مبتلا شدند.",neg
twitter,"زخم خوردم که راه یاد گرفتم😂
بعد فک کن فرداش مثلا میومد میگفت چقدر خوشمزه بود دستت درد نکنه :|||",neu
twitter,"برو وایتکس تزریق کن 
این هم داره تحول در انسان رو میگه 
پول کور و کر میکنه 
پول ویسکیت قطع نشه یهو رضاجون",neg
twitter,اون پسره که جیم چارلز میخواستش اما بهش پا ندادا این از اون معصوم تره لنتی جذاب,neu
twitter,"سازمان ملی پرورش استعداد های درخشان
یا سمپاد
که حلی و فرزانگان زیر نظرش بودن. نمیدونم فکر کنم بعد رفتن زیر نظر اموزش پرورش.",neu
twitter,خوبه بابا من ک داغون شدم تو این وضعیت,neu
twitter,حالا من از دریا میترسم 😣,neu
twitter,بابا این یه شبکست همه مسخره کردناسو ویدیوهاشونو میزاره واسه خنده خودشم مسخره میکنتشون,neu
twitter,نبودید مردم کاری کردند که مجبور شدند حتی اینترنت رو قطع کنند.,neu
twitter,دوستان تریدر به نظرتون فردا بازار چطوره ؟,neu
twitter,"البته ویس فاخر ها😂😂😂
نه که حوصله نداشته باشن ویس بدن
اون ویسو باید بکنی تو چشمشون😒😂",neu
twitter,"چاره در کتونیهای تابستونیه که مسلما داری.
اما من فصلو عوض میکنم، کتونی رو نه!:)))))))",neu
twitter,اره دلم میسوزه براشون. دنبال زندگی بهترن بالاخره تو این خرابشده.,neu
twitter,این دوستمون اصرار داره که «میدونم تو دلت چیزی نیست» در صورتی که قلبا دلم میخواد سر به تنش نباشه.,neu
twitter,تو برو یوسف پیامبر و مختار و جومونگ رو ۳ بار ببین بعد برو بمیر درست نمیشی,neg
twitter,دلم واسه اون روزایی که زیدم زنگ میزد میگفت خونه مون کسی نیست منم میرفتم گلدوناشون رو اب میدادم تنگ شده,neu
twitter,"خيلي جالبه كه دنيا تعطيله! اونوقت ما از ٣٠ ام بايد بريم دانشگاه!
جالب تر از اون اينه كه گويا كرونا واسه مسافرت و خوشي خطرناكه و كشنده!!! اما واسه درس و دانشگاه نه 😐😐😐😐😐😐
#پي_اچ_دي 😐",neu
twitter,"از قوه قضائیه درخواست رسیدگی و برخورد جدی در رابطه با قضیه گم شدن 4.8 میلیارد دلار از اموال مردم رو داریم.
تا کی قراره سهم مدیران کج دست، خوردن و بردن بیت المال باشه و سهم مردم فقر و گرانی و تورم؟؟!

#مطالبه_عمومی
#پول_مردم_کجاست",neg
twitter,"اره
خدا رو درنظر بگیریم اونجوری که‌خودش راضیه قطعا بهترین کاره

بعضی وقتام که دعوا بیخوده اصلا لازم نیست واکنش بدیم (کوت یا ریت)",neu
twitter,"برای بازگشایی مدارس و دانشگاه‌ها تصمیم جدیدی گرفته نشده است

معاون ستاد فرماندهی عملیات مبارزه با کرونا در شهر تهران:

برای بازگشایی مدارس و دانشگاه‌ها تصمیم جدیدی گرفته نشده است.

این احتمال وجود دارد که در ساعات محدودی طرح ترافیک در تهران برقرار شود.",neu
twitter,"واسه یه مشتِ دونه کونی آدما شی
#نصرالله‌مع‌این
#نصرالله‌مع‌اون",neu
twitter,"سوم ماه می روز جهانی آزادی مطبوعات: ایران از ۴١ سال  پیش، یکی از سرکوب کننده‌ترین کشورهای جهان برای روزنامه‌نگاران است.

روز جهانی آزادی مطبوعات هر سال در سوم ماه مه در بسیاری کشورها با ارزیابی موقعیت حقوقی رسانه‌ها و شرایط حقیقی کار آنها همراه است.
👇",neu
twitter,با شناختی که از دون کورلئونه دارم تبرّک هیچ شانسی برای قبضه کردن بازار رب گوجه نداره.,neu
twitter,در یک دانشگاه در آلمان اقدام به تحصیل کن. 😂,neu
twitter,"یه مشکل اساسی دیگه این بود که تا همین پارسال نمیدونستم وقتی تو دوره مصرف آنتی بیوتیکم نباید الکل بخورم!
میدونید چی شد؟ دوبار هم به خاطر کسکشی دکترا و نداشتن اطلاعات مادرم گاییده شد و از شدت استفراغ و درد نزدیک بود بمیرم",neg
twitter,وقتش زمانیِ که احساس کنی الان میتونم الان ذهنم می‌پذیره، حالا میخواد شب باشه یا روز,neu
twitter,بابا آخه خیلی روزا تو مسیر همیشگی من همه چی نرماله و یهو رندوم دستی میکنن چراغو😶,neu
twitter,انقد روغن ویدمون زیاد شده که میتونیم بذاریم برای فروش یه هفته با پولش بریم استانبول :)))))),neu
twitter,سیره ابن هشام چند جلد هست. واینها از مسلمات هست وتعجب میکنم شما مردد هستین. سخن منطقی هست. عادت کردیم به سخنان معجزه تراش که خود پیامبر وامامان معصوم از اینها نهی کردن. یک سخن که بوی معجزه وخرق عادت وامور خارق العاده رو باور میکنیم. اما یک حرف منطقی منقول از تاریخ اسلام رونه,neu
twitter,"چین و ژاپن میتونن از این سرعت پیشرفت برق تولید کنن😁😂
سلامت باشن",pos
twitter,با شما دو نفر هیچ حرفی ندارم 😶,neu
twitter,Youiبه ما ایمیل داد که اگه به اندازه قبل از ماشین استفاده نمیکنید اطلاع بدید که سی درصد کم کنیم هزینه بیمه رو.,neu
twitter,حله بیگیر که اومد,neu
twitter,"شما هر چی هم بگید به نظرم #ظریف در برجام کارش رو درست انجام داد،
اصلا مذاکره با آمریکا یعنی همین،
یعنی #شرف رو بدی بره،
اینم همین کار رو انجام داد،
امیدوارم این بار بحث #ناموس پیش نیاد.",neu
twitter,"بیا بیا
که نگارت شوم
بیا.",pos
twitter,"این تجربه ی ماست ولی محدود به ما نیست. حاصل یک تاریخ بلندبالا و یک فرهنگ مردسالار سرکوبگر است که اتفاقا ریشه های خود را در بستر #مالکیت و #سرکوب گسترانده.
#فرهنگ_تجاوز
#فیک_فمینیسم",neu
twitter,"برهانی اوجش دهه ۸۰ بود ۳-۴ سال اخرشو الکی وایساد
خوش قلب هست محبوب هست ولی خار تیمم کم نگاییده
دقیقه ۱۲۰ فینال حذفی گل خالی نزد-_-
همون ۴-۳ معروف با سپاهان داشت میزد بیرون توپو از رو‌خط عنایتی نبود گل نمیشد😂",neu
twitter,"چان رو به هیترا : چن و زنش و اون قلب هم پرنسسه
   #exo #chanyeol #Iranian_exol",neu
twitter,"صب که شد چشارو باز کنیم و بخندیم و ببینیم همه چی خوبه همه ی دردا تموم شدن هیچی از فکر و خیالای سمی من یادم نمیاد 
فقط چشات باشه و لبخند 
دستم و بزارم روی صورتت و 
یه دل سیر نگات کنم",pos
twitter,هروقت تونستی بگی چرا بابای جاکشت به این بچه ها شلیک کرده بیا حرف بزن,neg
twitter,😂😂😂شانس یه بار در خونه رو میزنه ها 😂🚶🏻‍♀️,neu
twitter,"اینکه من، جکیل و از آبسشن بیشتر دوس دارم گناه محسوب میشه یا چی ؟؟؟ 
عذاب وجدان دارم 

#EXO #엑소",neu
twitter,"مرسی یاسیییی🥺♥️
کاش همه مثل تو بودن❤❤❤❤
آی لاو یو🤕😘",pos
twitter,قطعا از جمع شدن همه کلاشهای مفت خور دور هم، هم زمان در دو قوه بدتر نخواهد شد.,neu
instagram,😍😍😍,pos
instagram,😂😂👌🏻,pos
instagram,😂😂😂😂😂😂😂😂😂😂,pos
instagram,😁😁😁,pos
instagram,👏👏,neu
instagram,😂😂😂😂😂😂,pos
instagram,😂😂😂,pos
instagram,سلطان 👑,pos
instagram,joounm😍,pos
instagram,😂😂😂😂❤️❤️❤️,pos
instagram,😂😂😂😂😂🔥,pos
instagram,فقط صداي اخبار 😂😂😂😂😂😂 عن عن عن,neu
instagram,تکنووولوووژییییییی,neu
instagram,😂😂😂,pos
instagram,فعلا با احتساب نرخ خوراک لوبیا و نخود نفت از گوز ارزون تر در میاد,neu
instagram,Man 2 bar didam ta hame noktehasho gereftam 😂😂,neu
instagram,اگر  بوخری  ازین  نفتیا ببر😂,neu
