timestamp,content,sentiment
"Aug 18, 2020 @ 16:08:42.378","صبحانه فقط با یک پنیر خوشمزه کامل میشه😋😋😋",unk
"Aug 18, 2020 @ 16:08:42.312","چقد میهن محصولات جدید داره 😢 از کجا تهیه کنیم؟! تو این شرایط کرونا کاش فروش انلاین هم راه اندازی شه",unk
"Aug 18, 2020 @ 16:08:42.245","سلام یه متنی برام امد که از محصولات میهن استفاده نکنید البته مطمنم از دشمنیه چرا پیگیر نمیشین که دیگه از این غلطها نکنن",unk
"Aug 18, 2020 @ 16:08:42.179","سیگار عامل بورگر💀🚭👇",unk
"Aug 18, 2020 @ 16:08:42.101","صبحونه ی پست آخر منو هم ببینید😍🙏",unk
"Aug 18, 2020 @ 16:08:42.034","گشنم شد عه",neu
"Aug 18, 2020 @ 16:08:41.969","و دیگر هیچ 😂",unk
"Aug 18, 2020 @ 16:08:41.902","😍😍صبحانه بهترین وعده غذاییه. افرادی که صبحانه مصرف میکنن تمایل بیشتری به رعایت سبک زندگی سالم دارن. و مطالعات اخیر نشون داده افرادی که صبحانه مصرف نمیکنن ۸۰درصد بیشتر در معرض خطر بیماری های قلبی هستن. و چی بهتر ازینکه در صبحانه پروتیینی مثل یه پنیر کم چرب باشه😍😍 محصولات میهن عالیه👌🏻 فقط کاش در شهر ما محصولات کم چربش راحت تر قابل دسترس بود",unk
"Aug 18, 2020 @ 16:08:41.835","بهبه😍😍😍😍",unk
"Aug 18, 2020 @ 16:08:41.769","❤️❤️❤️❤️😍😍😍😍",unk
"Aug 18, 2020 @ 16:08:41.702","بله میهن عزیز صبحانه خوشمزه ترین اتفاق صبح هاست ولی وقتی فکر میکنم کودکان سرزمینم چیدن همچین سفره ایی رو فقط تو تصاویر میتونند ببینند اونم در ثروتمند ترین کشور دنیا دلم میخواد به تمام دنیا بد و بیراه بگم ....خوشبختی وقتی دلچسبه که برای همه ایرانم باشه نه فقط خودم",unk
"Aug 18, 2020 @ 16:08:41.624","من که بی ام دبلیو رو نبردم ولی بازم لایک 👍😏",unk
"Aug 18, 2020 @ 16:08:41.558","سلام چرا هرچی کد قرعه کشی خامه رامیفرستیم پیام میاد که اشتباه .؟",unk
"Aug 18, 2020 @ 16:08:41.491","سلام
كاش به اروپا هم صادارت داشتيد !!
از محصولات ايراني خيلي استقبال ميشه",unk
"Aug 18, 2020 @ 16:08:41.426","با سلام",unk
"Aug 18, 2020 @ 16:08:41.348","کدهای محصولات میهن واضح نیست",unk
"Aug 18, 2020 @ 16:08:41.281","سلام تا چه زمانی بسته محصولات رو نگه داریم  همه کسانی که کد دارن تو قرعه هستن تا آخرش  قر عه کشی",unk
"Aug 18, 2020 @ 16:08:41.216","کسی هس جواب بده؟؟؟؟امروز یه شیر میهن خریدم برای صبحانه گذاشتم گرم بشه شیر کلا قیافش عوض شد اب و روغن شد این چه وضعشه ،اگ من اون شیر گرم نمیکردم میخوردم مصموم میشدم کی میخواس جواب بده؟؟!از ثابقتون میگید به چ درد میخوره متاسفم واستون دیگ به میهن هم نمیشه اعتماد کرد👎👎👎👎",neg
"Aug 18, 2020 @ 16:08:41.149","سلام تمام محصولات کد قرعه کشی دارند؟",unk
"Aug 18, 2020 @ 16:08:41.082","میشه لیست محصولاتی ک کد دارند رو بگید",unk
"Aug 18, 2020 @ 16:08:41.016","كد محصولاتي كه ارسال كرديم وقتي آخر هفته قرعه كشي ميشه  ظرف محصول رو تا كي نگهشون داريم؟
شنبه ميشه دور ريخت؟",unk
"Aug 18, 2020 @ 16:08:40.949","برای عدم خوانا بودن کد قرعه کشی روی دوغی که خریداری کردم باید با چه شماره ای تماس بگیرم؟شماره های پشتیبانی که گذاشتید خاموشن و پاسخگو نیستن",neu
"Aug 18, 2020 @ 16:08:40.884","سلام کدهایی که شمارش معلوم نیست چیکار کنیم",unk
"Aug 18, 2020 @ 16:08:40.817","صبحانه که به شکل سنتی‌ نمیخورم اما با پنیر خوشمزه شما عصرانه های عالی درست می کنم👩‍🍳",unk
"Aug 18, 2020 @ 16:08:40.751","🌟🌟🌟👌🏻",unk
"Aug 18, 2020 @ 16:08:40.684","یه صبحانه خوب و کامل با شیر و پنیر و کره میهن😄😄😄😄😄😄😄😄👏👏👏👏👏👏👏👏👏👏",unk
"Aug 18, 2020 @ 16:08:40.640","میهن پرچمش بالاس✌✌✌✌✌❤❤❤❤❤❤❤",unk
"Aug 18, 2020 @ 16:08:40.584","بستنی هایی که جدیدخریدیم چی میشه",neu
"Aug 18, 2020 @ 16:08:40.528","قرعه‌کشی بستنی پریما به اتمام رسیده هیچ کدی اعتبار نداره",unk
"Aug 18, 2020 @ 16:08:40.474","❤️",unk
"Aug 18, 2020 @ 16:08:40.418","😍",unk
"Aug 18, 2020 @ 16:08:40.363","🌺🙏",unk
"Aug 18, 2020 @ 16:08:40.308","😍❤️",unk
"Aug 18, 2020 @ 16:08:40.252","سلام هم میهن عزیز لطفا برای پیگیری به دایرکت مراجعه کنید 🌹",unk
"Aug 18, 2020 @ 16:08:40.196","سلام هم میهن عزیز لطفا برای پیگیری به دایرکت مراجعه کنید 🌹",unk
"Aug 18, 2020 @ 16:08:40.149","سلام هم میهن عزیز تمام کد ها تا اتمام مسابقات اعتبار دارد لطفا نگهدارید",unk
"Aug 18, 2020 @ 16:08:38.703","سلام هم میهن عزیز انواع ماست پنير دوغ و شیر بستنی سالار و آبمیوه فروت‌لند",neu
"Aug 18, 2020 @ 16:08:38.647","سلام هم میهن عزیز لطفا دایرکت برامون عکس ارسال کنید",neu
"Aug 18, 2020 @ 16:08:38.592","سلام هم میهن عزیز بله تمام کد ها تا اتمام مسابقات اعتبار دارد لطفا نگهدارید",neu
"Aug 18, 2020 @ 16:08:38.536","سلام هم میهن عزیز لطفا برای پیگیری به دایرکت مراجعه کنید",neu
"Aug 18, 2020 @ 16:08:38.481","لطفا برای پیگیری به دایرکت مراجعه کنید",unk
"Aug 18, 2020 @ 16:08:38.426","سلام هم میهن عزیز لطفا به دایرکت مراجعه کنید",unk
"Aug 18, 2020 @ 16:08:38.371","سلام هم میهن عزیز لطفا نگهدارید تمام کد ها تا اتمام مسابقات اعتبار دارد",unk
"Aug 18, 2020 @ 16:08:38.315","ایا چوب بستتی که کدشو فرستادیم هنوز اعتبار داره",unk
"Aug 18, 2020 @ 16:08:38.260","سلام تعداد قوطیها زیاده نمبشه فقط اون قسمت کد رو نگهداریم؟؟؟",unk
"Aug 18, 2020 @ 16:08:38.204","سلام نتایج قرعه کشی چه سایتی یا کجا اعلام میشه؟آیا با برندگان تماس گرفته میشه؟",neu
"Aug 18, 2020 @ 16:08:38.149","لطفا محصولاتی که تو قرعه کشی شرکت داده می شوند رو معرفی کنید🙏❤️❤️",unk
"Aug 18, 2020 @ 16:08:38.094","با پنیر لیفوان تبریز",neu
"Aug 18, 2020 @ 16:08:38.039","مردم همش دروغ قرعه کشی کجا بود ی میلیون هزینه کردم آخرشم ی قرعه کشی سوری،",unk
"Aug 18, 2020 @ 16:08:37.983","کمتر بمال واسه رئیست",unk
"Aug 18, 2020 @ 16:08:37.927","اونایی که کدناخوانادارن  که هیچ،،،،اونایی که کدش ارسالیه،،سرکاریه،،،،،،هم میهن عزیز،،،،لطفا  بس کن و گول این حرفها و نخور",unk
"Aug 18, 2020 @ 16:08:37.872","🌹🌹",pos
"Aug 18, 2020 @ 16:08:37.817","تاکی باید جیب من وتو،،،،،سرمایه وجود کلان یه عده ای بشه",unk
"Aug 18, 2020 @ 16:08:37.761","💓R.FINO.COMPANY💓
دوستان سلام👋
از شما دعوت میکنم حتما به پیج ما مراجعه کنید و پیراهن های آرفینو کمپانی رو با بروزترین متد روز دنیا و بهترین نخ و پارچه و با کیفیت دوخت عالی مشاهده کنید👌🤟🌹
بهترین کیفیت رو با حذف واسطه با کمترین قیمت خریداری کنید😏😎🙏
تمامی کار ها بصورت عمده و تک  قابل فروش هست👕👖💯😇👍",unk
"Aug 18, 2020 @ 16:08:37.706","👌👌",unk
"Aug 18, 2020 @ 16:08:37.640","من رفتم دیروز شیرکاکائو بگیرم همزمان ماشین حمل رسید، دلم خوش بود به موقع رسیدم و شیرکاکائو تازه میگیرم، وقتی سبدا رو اوردن گذاشتن تو مغازه دست که زدم متوجه شدم بطریا دم کردن و گرم گرم بودن. ادمین میخوای انکار کنی بیا شیراز بهت اثبات کنم",unk
"Aug 18, 2020 @ 16:08:37.573","ارسال شد",unk
"Aug 18, 2020 @ 16:08:37.507","این پنیر میهن رو خیلی دوست داریم کنارش گردو اگه باشه  دیگه عالی میشه میهن از محصولات خوشمزه ات ممنونیم 👏👏👏",unk
"Aug 18, 2020 @ 16:08:37.440","میهن جان من هفته ای ۴۰ نا ۴۵ تا کد میفرستم چرا من برنده نمیشم خیلی نیاز دارم  از اول قرعه کشی دارم کد میفرستم چی میشه یکبار هم اسم من دربیاد خواهش میکنم 🙏🙏🙏🙏🙏😢😢😢😢😢😢",unk
"Aug 18, 2020 @ 16:08:37.375","میهن عزیز من دو تا کد از دیروز میفرستم ناخواناست میزنه اشتباهه به همکاران تو وتسپ پیام دادم عکس فرستادم ولی کسی پاسخگو نیست میشه بی زحمت رسیدگی کنید 🙏🙏🙏تشکر",unk
"Aug 18, 2020 @ 16:08:37.307","بااحترام 🙏لطفاً دایرکت چک کنید😍",unk
"Aug 18, 2020 @ 16:08:37.241","چرا معرفی نمیکنین برنده بی ام و؟؟؟؟؟؟",unk
"Aug 18, 2020 @ 16:08:37.175","قرعه کشی میهن کی انجام میشه ..؟؟خواهش میکنم اگه کسی میدونه جواب بده ..چون میخام شیر بخرم..ممنون",unk
"Aug 18, 2020 @ 16:08:37.108","لطفا مردمو کم بزارین سر کار ۶ماهه منو خانوادم کلی بستنی پریما خریدیم هرروزم با افزایش قیمت بعد یدانه جایزه دادین به یه نفروتمام ورفت پی کارش این ضعف مدیریت وعدم وجود عدالت رو نشان میده حداقل باید به چندنفر این جایزه،یا جایزه کوچکتر داده بشه که مردم ضدحال نخورن ودیگه سمت محصولات میهن نرن",unk
"Aug 18, 2020 @ 16:08:37.042","پنیر اسپونی خییییلی خوشمزه س.ممنون میهن جان😍...فقط کدش خوانا نیست زیاد😌",unk
"Aug 18, 2020 @ 16:08:36.975","منک که میگم الکیه که جایزه میدن",unk
"Aug 18, 2020 @ 16:08:36.909","سلام قرعه کشیتون تاکی ادامه داره بااین سرای شیرودوغ وماست ودبه ماست وجای پنیروچوب بستنی چکارکنیم بدم نون خشکی یانگه دارم خواهشاراهنمایی کنیدممنون",unk
"Aug 18, 2020 @ 16:08:36.843","سلام قرعه کشیتون تاکی ادامه داره بااین سرای شیرودوغ وماست ودبه ماست وجای پنیروچوب بستنی چکارکنیم بدم نون خشکی یانگه دارم خواهشاراهنمایی کنیدممنون",unk
"Aug 18, 2020 @ 16:08:36.776","سلام فراوردهایی ک قرعه کشی میشه هفتگی هست یعنی هر جمعه پاکت ها رو دور بریزیم ؟؟؟",unk
"Aug 18, 2020 @ 16:08:36.710","زنان هم نیاز جنسی دارند.
مبارزه با #تابوی_بکارت در ایران",unk
"Aug 18, 2020 @ 16:08:36.654","سلام ... بزرگوار ، واقعیت تلخ قرعه کشی "" ب ام و "" : قرعه کشی ناعادلانه خودرو "" ب ام و "" در چهاردهم مردادماه برگزار شد . مجری حیله گر برنامه در مراسم از تعدادی مهمانان درخواست کرد گردونه چند قلو رو بچرخانند و یکی از مهمانان با چرخاندن عجولانه ، باعث شد که گردونه از بغل در حال افتادن بود که مجری برنامه که نزدیک گردونه ایستاده بود ، سریع گردونه را گرفت و در حین تکان خوردن ها ی زیاد یکی از گوی ها به بیرون پرتاب شد و مجری حیله گر اهمیت نداد و گفت : اشکال نداره ...!!!!!! و قرعه کشی رو ادامه داد و سریع با برنده قلابی تماس گرفت . برنده پریماه خانم دختر یکی از کارمندان بانک است . صاحبان برند میهن ، چون مجری حیله گر با برنده قلابی تماس گرفته بود ؛ حق کشی کردند و قرعه کشی رو بازنگری نکردند ...!!! بدلیل اینکه : نگران بودند که پدر پریماه خانم از آنها شاکی شود و بجای مقابله با حق الناس کردن ، سکوت کرده و با مجری حیله گر تبانی کردند و از آگاهی نداشتن مصرف کنندگان و اعتماد آنها سوء استفاده کردند . تنها چیزی که خدا ازش نمیگذره ؛ حق الناس است ...!!!!!!! و دیر و زود تاوان عمل کثیفشون رو پس خواهند داد . الهی آمین .",unk
"Aug 18, 2020 @ 16:08:36.587","💜دم همه کارکنان شرکت میهن گرم ،به ویژه رییس ومالک شرکت میهن که محصول با کیفیت ارائه میدن بستنی هاش که دیگه نگم واستون عالیه💜",unk
"Aug 18, 2020 @ 16:08:36.521","بااحترام دایرکت چک شود🙏",unk
"Aug 18, 2020 @ 16:08:36.455","قرعه کشی پریما تموم شد شماره ها باطل شده",unk
"Aug 18, 2020 @ 16:08:36.388","فردا قرعه کشی بریزید دور",unk
"Aug 18, 2020 @ 16:08:36.321","پنیر فقط پنیر پگاه بقیه مسخره بازیه",unk
"Aug 18, 2020 @ 16:08:36.256","به میهن اعتماد کن ،اون کسی که شیر رو نگهداری کرده باید شک کرد",neu
"Aug 18, 2020 @ 16:08:36.189","این صبحهانه ها راکه نشان میدهید فکر میکنید مردم تواین شرایط دیگر می توانند بخرن بخورن فقط تماشا میکنند فوش میدهند چون شرمنده بچه هاشون میشن میگن بابا ومامان این بخر بخوریم ولی خبری ازپول نیست",unk
"Aug 18, 2020 @ 16:08:36.122","بستنی پریماش عالیه",unk
"Aug 18, 2020 @ 16:08:36.057","😭😭😭😭😭",unk
"Aug 18, 2020 @ 16:08:35.990","🤪😋😋😋😋😋🤪🤪",unk
"Aug 18, 2020 @ 16:08:35.902","بله",unk
"Aug 18, 2020 @ 16:08:35.835","خیر",unk
"Aug 18, 2020 @ 16:08:35.768","صبحانه شده نون چاهی فقط دیگر بابا ومامان پول ندارد",unk
"Aug 18, 2020 @ 16:08:35.702","😭😭😭😭😭😭😭",unk
"Aug 18, 2020 @ 16:08:35.641","کامل نگهداری بشه",unk
"Aug 18, 2020 @ 16:08:34.230","مطمعنید نریزیم دور برنده شیم جایزه ندن 😂",unk
"Aug 18, 2020 @ 16:08:34.164","👌👌👌👍👍👍",pos
"Aug 18, 2020 @ 16:08:34.097","از چوب بستتی های قبلی بریزیم دور جایزه بیوه بود دیگه جایزه سکه  ندلره",unk
"Aug 18, 2020 @ 16:08:34.030","بله بعد اینکه قرعه کشی تموم شد ومطمعن شدی برنده نشدی بریز دور☺",unk
"Aug 18, 2020 @ 16:08:33.965","شما ها چقدر ساده این.همش دروغه",unk
"Aug 18, 2020 @ 16:08:33.898","والا من کلی کد بستنی میهن فرستادم ولی اصلا نه مسابقه ای دیدم نه برنده شدنی 😬😬😬😬 نمی‌دونم این جایزه ها برا کیا در میاد آخه 🙄 فکر کنم سر کاریم 😂",unk
"Aug 18, 2020 @ 16:08:33.832","سلام وعرض ادب بله دقیقا همینطوره  مردم ساده وپاک ماهم به سادگی گول اینچنین  افراد سودجو رو میخورن 😔😔😔😔",unk
"Aug 18, 2020 @ 16:08:33.765","تشکر🌺🌺",unk
"Aug 18, 2020 @ 16:08:33.709","✅ارائه راه حل های چاپ صنعتی , تامین قطعات و مواد مصرفی جت پرینتر. مشاوره قبل از خرید
ارائه خدمات در زمینه صنعت چاپ و بسته بندی
مشاوره رایگان برای راه اندازی خطوط بسته بندی
بهره گیری از مجرب ترین تیم فروش و مختصص فنی در جهت ارائه خدمات هر چه بهتر
⚜دیبا نگاران آوید تنها نماینده رسمی جت پرینتر های صنعتی ساوما در ایران⚜
با بیش از 16سال سابقه در صنعت چاپ و بسته بندی
جت پرینتر حرارتی دیجیتالی ساوما(TTO)
📞02166572270
📞02166918300",unk
"Aug 18, 2020 @ 16:08:33.590","😍😍😍😍",unk
"Aug 18, 2020 @ 16:08:33.499","کد رب رو به چه شماره ای بفرستیم?",unk
"Aug 18, 2020 @ 16:08:33.445","خداییش میهن یکی از برندهایی هست که گران فروشی نکرده و هنوز قیمت هاش خوبه، من همیشه شیر میهن میخرم چون گرونش نکرده",unk
"Aug 18, 2020 @ 16:08:33.388","پنیر سنتی میهن",neu
"Aug 18, 2020 @ 16:08:33.332","🙏❤️",unk
"Aug 18, 2020 @ 16:08:33.277","سلام خسته نباشید ببخشید قرعه کشی اب میوه هاتون کی انجام میشه و پاکت آبمیوه رو حتما باید نگه داریم؟",unk
"Aug 18, 2020 @ 16:08:33.233","پنیر اسپونی😍",unk
"Aug 18, 2020 @ 16:08:33.189","خامه میهن",neu
"Aug 18, 2020 @ 16:08:33.135","تا كي هست من دائم محصولات ميهن رو قبل قرعه  كشيها مصرف ميكردم، ولي اين كد دارهارو قيد نكردين تا كي نگهداريم كلي رو ريختيم",unk
"Aug 18, 2020 @ 16:08:33.078","👏👏👏👏",neu
"Aug 18, 2020 @ 16:08:33.024","چرا پس ما برنده نمیشیم این همه می‌خریم😏😏😏",unk
"Aug 18, 2020 @ 16:08:32.968","از اولش تا الان ی کیسه در جمع کردم برنده ام نشدم😔😔",unk
"Aug 18, 2020 @ 16:08:32.913","مجید چطوری؟ این شیرکاکائوها چرا قرعه کشی نداره، پنج تا خریدم حالا میگه قرعه کشی نداره، این چه وضعشه؟ چرا قبلش نمیگن که نخریم؟ اگه قرعه کشی نداره چرا شماره قرعه کشی روش زده؟ چرا وقتی شماره قرعه کشی رو میفرستم شماره ردیف میده؟ خب نده. رسیدگی کن مجید",unk
"Aug 18, 2020 @ 16:08:32.858","این قرعه کشیا همش چاخانه",unk
"Aug 18, 2020 @ 16:08:32.802","مگه قوطی یارو باید نگه داریم؟",unk
"Aug 18, 2020 @ 16:08:32.746","چرا کد میزنیم جواب نمیاد نه میگه اشتباهه نه میگه ثبت شد",unk
"Aug 18, 2020 @ 16:08:32.691","شرکتهایی که مایلند محصولات خود را به رایگان تبلیغ کنند میتوانند به سایت ثابت مدیا مراجعه فرمایند.",unk
"Aug 18, 2020 @ 16:08:32.636","پنیر سنتی میهن",neu
"Aug 18, 2020 @ 16:08:32.581","درود بر شما محصولاتتون بی نظیره  خصوصا طعم عالی بستنی ها  و البته خامه و شیر و انواع ماست و ...... 🙏🏻🌹😁😁",pos
"Aug 18, 2020 @ 16:08:32.525","از سالها پیش بدون ‌قرعه کشی هم همیشه انتخاب ما میهن بود.  پاینده  باشید. 💐",unk
"Aug 18, 2020 @ 16:08:32.469","پنیر اسپونی میهن",unk
"Aug 18, 2020 @ 16:08:32.414","پنیر اسپونی میهن",neu
"Aug 18, 2020 @ 16:08:32.360","پنیر اسپونی میهن",unk
"Aug 18, 2020 @ 16:08:32.304","پنیر اسپونی میهن",unk
"Aug 18, 2020 @ 16:08:32.249","پنیر اسپونی میهن",unk
"Aug 18, 2020 @ 16:08:32.193","سلام...ایا خامه میهن هم قرعه کشی داره؟؟؟",unk
"Aug 18, 2020 @ 16:08:32.138","پس چرا کد میفرستم پیامک برام نمیتد",unk
"Aug 18, 2020 @ 16:08:32.082","#میهن_کلاهبردار",unk
"Aug 18, 2020 @ 16:08:32.017","#خایه_مال",unk
"Aug 18, 2020 @ 16:08:31.950","#میهن_کلاهبردار",unk
"Aug 18, 2020 @ 16:08:31.883","قرعه کشی ها تا کی ادامه داره؟؟",unk
"Aug 18, 2020 @ 16:08:31.818","🌸",unk
"Aug 18, 2020 @ 16:08:31.740","سلام...بستنی سالار قرعه کشی داره؟ولی پریما دیگه اعتبار نداره کدهای پریمارو چیکار کنیم",unk
"Aug 18, 2020 @ 16:08:31.673","میگما شیر میهن هم قرعه کشی داره؟",unk
"Aug 18, 2020 @ 16:08:31.606","دیگه تموم شد مسابقه قرعه کشی",unk
"Aug 18, 2020 @ 16:08:31.540","الان دیگه کدوم مسابقه برگذار میشه",unk
"Aug 18, 2020 @ 16:08:31.475","یه ماست و یه پنیر گرفتم کدشو فرستادم به نیت بچه هام شاید فرجی شد و امیدشون نا امید نشه و ما هم ماشین دار شدیم.",unk
"Aug 18, 2020 @ 16:08:31.408","سلام چرا آخه اطلاع رسانی نکردید تمام کدها رو باید تا آخر نگه داشت من بعد از قرعه کشی هفتگی انداختم دور😢",unk
"Aug 18, 2020 @ 16:08:31.256","یقین دارم هم تو هم عوامل میهن همه تون کره دانکی هستین",unk
"Aug 18, 2020 @ 16:08:30.666","چقدر جالب که «شام» خوشمزه‌ترین اتفاق شبه و صبحانه اتفاق صبح.",unk
"Aug 18, 2020 @ 16:08:29.272","هر محصولی خریدم بعد مصرف انداختمش دور☹☹اگه نگه میداشتم یه کیسه پاکت ابمیوه میشد😂😂😂",unk
"Aug 18, 2020 @ 16:08:29.205","كيفيت كد روي چوب بستني سالار واقعا پايينه ادم كور ميشه تا ميخواد بخونش",unk
"Aug 18, 2020 @ 16:08:29.127","پنیر خامه ای میهن 😁😍",unk
"Aug 18, 2020 @ 16:08:29.060","لبنیات کالمند 
تولید انواع محصولات لبنی با بروزترین دستگاه های دنیا
کلیه مصرف شیر فراورده های لبنی  کالمند از دامداری صنعتی خود مجموعه تأمین میشود",unk
"Aug 18, 2020 @ 16:08:28.994",,unk
"Aug 18, 2020 @ 16:08:28.927","سلام هر کد قرعه کشی که ارسال میکنیم تا چند وقت باید ظرفش رو نگه داریم ؟",unk
"Aug 18, 2020 @ 16:08:28.862","سلام وعرض ادب کاملا دقیق ودرست میفرماییدمتاسفانه  مسولین سودجو وفرصت طلب میهن از سادگی واطمینان مردم عزیزمان سواستفاده های بسیاری میکنند۰😔",unk
"Aug 18, 2020 @ 16:08:28.795","سلام قرعه کشی میهن تموم شد؟",unk
"Aug 18, 2020 @ 16:08:28.728","عه کی قرعه کشی شد ؟",unk
"Aug 18, 2020 @ 16:08:28.661","تقریبا یه هفته پیش",unk
"Aug 18, 2020 @ 16:08:28.596","قربون شانس برم ماشین که هیچی یه سکه هم در نیومد 😁",unk
"Aug 18, 2020 @ 16:08:28.528","من که هرچی کدقرعه کشیومیفرستم جواب میادکدارسالی اشتباه است.واقعاقرعه کشی دارین یاهمش الکیه؟شایدم نمایشی هستوبرافروش بیشترمحصولاتتونه",unk
"Aug 18, 2020 @ 16:08:28.440","😮😮😮 متوجه نشدم",unk
"Aug 18, 2020 @ 16:08:28.374","سلام میخواستم ببینم قرعه کشی تموم شده و اگه تموم نشده تا چه تاریخی ادامه راه  لطف کنید تاریخش اعلام کنید ممنون ۰",unk
"Aug 18, 2020 @ 16:08:28.307","سلام قرعه کشی تموم شده یا نه ،اگه تموم نشده لطفا بگید تا چه تاریخی هست ،اون تاریخ اصلی رو لطفا مشخص کنین ممنون",unk
"Aug 18, 2020 @ 16:08:28.242","سلام. قرعه کشی ماشین تموم شده. با کدهایی که  ازین ببعد میاد دستمون چیکار کنیم؟ دیگه نفرستیم؟",unk
"Aug 18, 2020 @ 16:08:28.174","لطفا این پیج آشپزی را هم فالو کنید.ممنون⚘❤",unk
"Aug 18, 2020 @ 16:08:28.109","ما دردمون رو چجوری بگیم یه خامه میهن ۷ تومن آقا چرا اینقدر لبنیات روزی گرون میشه؟",unk
"Aug 18, 2020 @ 16:08:28.042","کره و پنیر میهن",unk
"Aug 18, 2020 @ 16:08:27.976","❤️",unk
"Aug 18, 2020 @ 16:08:27.910","کلپچ 😍",neu
"Aug 18, 2020 @ 16:08:27.843","سلام از پیچ آرایشی کمند دیدن فرمایید",unk
